MnFeCoNiAl
strain_r: 0.001
temperature: 300
element: Mn-Fe, Co-Ni, Al
ratio:50.0:50.0,50.0:50.0,100
structure: fcc
data:
Mn,Fe,Co,Ni,Al
12.60,12.09,11.12,10.94,16.472
338.84,26.375,262.89,199.1,65.498
130.52,8.9429,101.66,76.0,23.922
Start of Predicted Data
psA,psB,psC,Mn,Fe,Co,Ni,Al,V_ave,b_ave,E_ave,mu_ave,nu_ave,sum_cnVn^2_b6,tau_y0,Delta_Eb,Delta_sigma_ss
0.3,0.6,0.1,0.15,0.15,0.3,0.3,0.1,11.9687,2.5675603460693015,199.92905,76.609635,0.3048557795634974,0.009157129999352899,278.68245383434817,2.0012759562265905,553.1983722659394
0.3,0.7,0.0,0.15,0.15,0.35,0.35,0.0,11.424500000000002,2.5280407294186142,216.47875,83.100435,0.30251273654584354,0.0014875771122417581,89.38275471357584,1.126754250274248,132.59505264524856
0.4,0.0,0.6,0.2,0.2,0.0,0.0,0.6,14.821200000000003,2.757186363328501,112.3418,42.24578,0.3296215622010057,0.00936349748779281,167.8633676374042,1.4282903003861684,287.71579939046296
0.4,0.1,0.5,0.2,0.2,0.05,0.05,0.5,14.277000000000003,2.7230188795431816,128.8915,48.73658,0.3223281157602771,0.012223706723761647,226.33577277861443,1.7159497728282318,423.0142490399585
0.4,0.2,0.4,0.2,0.2,0.1,0.1,0.4,13.732800000000001,2.6879717351826664,145.4412,55.22738,0.31674904730226205,0.013946506852531017,275.4429173356762,1.9382759498996032,540.3861500147153
0.4,0.3,0.3,0.2,0.2,0.15,0.15,0.3,13.188600000000001,2.651986026992752,161.9909,61.71818,0.31234346184543993,0.014215272043488521,307.71900872321106,2.0799165046578874,619.228621459542
0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2,12.644400000000001,2.6149962754935965,178.5406,68.20898,0.30877635173550466,0.012627295281622954,310.9668523107405,2.107363915169516,628.5993700200995
0.4,0.5,0.1,0.2,0.2,0.25,0.25,0.1,12.100200000000001,2.576929371119699,195.0903,74.69978,0.30582914702024566,0.008667012030019036,262.7012164997768,1.9397543693444559,515.5350502184094
0.4,0.6,0.0,0.2,0.2,0.3,0.3,0.0,11.556,2.537703295540685,211.64,81.19058,0.3033531722522489,0.0016694631083563546,94.54225950384705,1.1586088209688108,142.99358132687306
0.5,0.0,0.5,0.25,0.25,0.0,0.0,0.5,14.408500000000002,2.7313535717913093,124.05275,46.826725,0.32459348801352217,0.010333439440749865,195.741718389058,1.5785954560724147,352.5004040886574
0.5,0.1,0.4,0.25,0.25,0.05,0.05,0.4,13.8643,2.6965241552207426,140.60245,53.317525,0.3185387918887832,0.012253805961968026,245.23899479720023,1.8142251715849604,468.9894882360795
0.5,0.2,0.3,0.25,0.25,0.1,0.1,0.3,13.320100000000004,2.6607709748232553,157.15215,59.808325,0.31379828811457267,0.0127907413062682,279.12441499884727,1.9694760543293517,550.8545566623593
0.5,0.3,0.2,0.25,0.25,0.15,0.15,0.2,12.775900000000002,2.6240302293018782,173.70185,66.299125,0.309985991519496,0.011562238882059933,286.03373928209066,2.0133418488951125,569.0207129286645
0.5,0.4,0.1,0.25,0.25,0.2,0.2,0.1,12.2317,2.5862307605606065,190.25155,72.789925,0.3068535927190472,0.008080161863263515,245.0325474549605,1.8693810295118078,474.15352353380575
0.5,0.5,0.0,0.25,0.25,0.25,0.25,0.0,11.6875,2.547292834303114,206.80125,79.280725,0.304234099776459,0.001716240098372833,94.27850934812686,1.1563126338863132,142.4015801336336
0.6,0.0,0.4,0.3,0.3,0.0,0.0,0.4,13.995800000000003,2.705022666183423,135.7637,51.40767,0.3204615186799946,0.010533681403667962,214.9975355034713,1.683805468294384,398.57478044654
0.6,0.1,0.3,0.3,0.3,0.05,0.05,0.3,13.451600000000001,2.6694982928430573,152.3134,57.89847,0.31534909298984926,0.01132335890131466,250.27429210508703,1.8530156867712146,482.64138883476755
0.6,0.2,0.2,0.3,0.3,0.1,0.1,0.2,12.9074,2.6330024039699893,168.8631,64.38927,0.3112673897374516,0.010433948675895432,260.3973944807219,1.912613970558947,508.31656676362087
0.6,0.3,0.1,0.3,0.3,0.15,0.15,0.1,12.363200000000003,2.595465721995742,185.4128,70.88007,0.3079332455512529,0.0074030526565193044,225.79691427610385,1.7898451196564065,429.4610794298376
0.6,0.4,0.0,0.3,0.3,0.2,0.2,0.0,11.819,2.5568107100661206,201.9625,77.37087,0.3051585176695053,0.0016367422716276987,89.38628642219304,1.124782127724148,132.43561762280024
0.7,0.0,0.3,0.35,0.35,0.0,0.0,0.3,13.5831,2.678168916990371,147.47465,55.988615,0.31700569839064596,0.00981640298150775,221.1219854425468,1.7295304382414989,414.6503190758755
0.7,0.1,0.2,0.35,0.35,0.05,0.05,0.2,13.0389,2.641913844984876,164.02435,62.479415,0.3126271268705061,0.009246881694557792,234.0645557554367,1.8044329356663136,446.64880411863817
0.7,0.2,0.1,0.35,0.35,0.1,0.1,0.1,12.494700000000002,2.604635428896084,180.57405,68.970215,0.30907269174092034,0.006641743996883152,205.06650257223,1.7004641175451174,381.78208919758947
0.7,0.3,0.0,0.35,0.35,0.15,0.15,0.0,11.9505,2.5662582468572377,197.12375,75.461015,0.30612972804566696,0.001439226735391217,80.24586854671308,1.0641974777056655,114.1304445994932
0.8,0.0,0.2,0.4,0.4,0.0,0.0,0.2,13.1704,2.6507655698093164,159.1856,60.56956000000001,0.31407261337212944,0.008005216382227584,206.99567946042578,1.687603050410439,384.11516703426184
0.8,0.1,0.1,0.4,0.4,0.05,0.05,0.1,12.6262,2.6137410219125163,175.7353,67.06036,0.3102770399681718,0.005801910706798641,182.85254988872137,1.5999985970417727,331.3468951749049
0.8,0.2,0.0,0.4,0.4,0.1,0.1,0.0,12.082000000000003,2.575636729992767,192.285,73.55116,0.30715137599461384,0.0011314150523757732,66.82270400013905,0.9693019896559953,88.00823754230852
0.9,0.0,0.1,0.45,0.45,0.0,0.0,0.1,12.7577,2.622783610124889,170.89655,65.15050500000001,0.31155199794690747,0.004888869423315089,159.07884198644018,1.4862811706142347,278.2657502011142
0.9,0.1,0.0,0.45,0.45,0.05,0.05,0.0,12.213500000000002,2.584947407617173,187.44625,71.641305,0.3082274952975801,0.0007205314473554433,48.33131368406889,0.8224313705382633,53.902285078157
1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,12.345,2.594191492165401,182.6075,69.73145,0.30936256165618237,0.0002133379790323449,20.96800282609687,0.540191146883418,10.196281363066387
